x,y
6.259217262268066406e+00,-4.189706325531005859e+00
1.170870780944824219e+01,-1.416535377502441406e+00
4.619094371795654297e+00,-1.993394732475280762e+00
9.355088233947753906e+00,-4.113404273986816406e+00
5.979349613189697266e+00,-4.507791996002197266e+00
5.583241939544677734e+00,-4.747795581817626953e+00
6.048610687255859375e+00,-4.389421463012695312e+00
6.161179065704345703e+00,-4.153901100158691406e+00
5.726440429687500000e+00,-4.598380088806152344e+00
7.261582374572753906e+00,-2.941297769546508789e+00
9.474730491638183594e+00,-4.587977409362792969e+00
8.822551727294921875e+00,-4.358501911163330078e+00
7.703393936157226562e+00,-2.742460727691650391e+00
7.953399181365966797e+00,-2.244331359863281250e+00
7.618914127349853516e+00,-2.085420489311218262e-02
7.678153514862060547e+00,-8.449455350637435913e-02
1.219394874572753906e+01,-1.490494489669799805e+00
8.269411087036132812e+00,-4.046885967254638672e+00
1.013457489013671875e+01,-5.279315471649169922e+00
6.265170097351074219e+00,-2.987046718597412109e+00
6.205257892608642578e+00,-5.181815624237060547e+00
1.116169929504394531e+01,-2.102040767669677734e+00
1.096047973632812500e+01,-1.364621281623840332e+00
5.637471199035644531e+00,-4.757774353027343750e+00
6.231751918792724609e+00,-4.412138938903808594e+00
5.940246105194091797e+00,-4.903492927551269531e+00
6.003411293029785156e+00,-4.399517059326171875e+00
9.268412590026855469e+00,-4.734791755676269531e+00
9.413570404052734375e+00,-4.559839248657226562e+00
8.701722145080566406e+00,-4.118799209594726562e+00
9.535960197448730469e+00,-4.518756389617919922e+00
6.539593219757080078e+00,-3.131113052368164062e+00
6.795858383178710938e+00,-2.041395902633666992e+00
9.245938301086425781e+00,-4.699819087982177734e+00
1.206161308288574219e+01,-1.842308521270751953e+00
5.851347446441650391e+00,-2.159471273422241211e+00
5.446919441223144531e+00,-2.390352010726928711e+00
5.922918796539306641e+00,-5.425707340240478516e+00
5.922418594360351562e+00,-5.383545398712158203e+00
8.206085205078125000e+00,-2.566796064376831055e+00
8.232276916503906250e+00,-4.139118671417236328e+00
1.201386737823486328e+01,-2.088893651962280273e+00
8.079188346862792969e+00,-3.799984216690063477e+00
8.163040161132812500e+00,-7.992217540740966797e-01
1.135119438171386719e+01,-1.939449310302734375e+00
9.773250579833984375e+00,-4.263173580169677734e+00
9.448875427246093750e+00,-4.192062377929687500e+00
7.211525440216064453e+00,-1.780367970466613770e+00
9.876717567443847656e+00,-4.207644939422607422e+00
1.203088474273681641e+01,-1.647582769393920898e+00
9.311596870422363281e+00,-4.778499126434326172e+00
6.214516162872314453e+00,-5.161665916442871094e+00
5.506639480590820312e+00,-2.005754232406616211e+00
9.963764190673828125e+00,-4.624458789825439453e+00
1.192550277709960938e+01,-1.270198345184326172e+00
1.012492370605468750e+01,-5.235206604003906250e+00
8.367558479309082031e+00,-3.437657356262207031e+00
6.173459053039550781e+00,-4.779317378997802734e+00
9.221495628356933594e+00,-4.621007919311523438e+00
5.714685440063476562e+00,-2.210425853729248047e+00
8.629672050476074219e+00,4.916578292846679688e+00
8.890021324157714844e+00,-1.223912715911865234e+00
7.505100250244140625e+00,-1.403309702873229980e+00
6.762480735778808594e+00,-2.829523324966430664e+00
1.029725074768066406e+01,-5.449577331542968750e+00
1.003315734863281250e+01,-4.583878040313720703e+00
7.260744571685791016e+00,-4.118976593017578125e+00
1.212403392791748047e+01,-1.977146625518798828e+00
4.816279411315917969e+00,-1.453617215156555176e+00
1.219012451171875000e+01,-1.195054411888122559e+00
1.164451122283935547e+01,-1.279098629951477051e+00
1.205219268798828125e+01,-1.301475524902343750e+00
7.044488430023193359e+00,-1.972839713096618652e+00
6.272578239440917969e+00,-2.844787120819091797e+00
6.161734104156494141e+00,-3.104235410690307617e+00
1.019319629669189453e+01,-2.513058900833129883e+00
1.020913124084472656e+01,-2.529872417449951172e+00
1.020583629608154297e+01,-2.510517597198486328e+00
1.023197841644287109e+01,-2.539343595504760742e+00
1.022093391418457031e+01,-2.569356918334960938e+00
1.025232124328613281e+01,-2.546756267547607422e+00
1.024687290191650391e+01,-2.528600454330444336e+00
1.026809978485107422e+01,-2.507232904434204102e+00
1.018764209747314453e+01,-2.541259765625000000e+00
1.024016666412353516e+01,-2.543725490570068359e+00
7.598444461822509766e+00,-7.348816841840744019e-02
1.021925735473632812e+01,-5.349131584167480469e+00
9.874763488769531250e+00,-4.616591453552246094e+00
7.570052146911621094e+00,-1.890048623085021973e+00
7.678841114044189453e+00,-2.007427692413330078e+00
7.539329051971435547e+00,-1.884541988372802734e+00
7.642882823944091797e+00,-1.872232317924499512e+00
5.636286258697509766e+00,-2.590053558349609375e+00
9.214776039123535156e+00,-4.705602169036865234e+00
5.782074928283691406e+00,-4.524004459381103516e+00
6.089689731597900391e+00,-5.124527454376220703e+00
9.916090965270996094e+00,-4.199476718902587891e+00
4.584041118621826172e+00,-1.492758035659790039e+00
1.194395256042480469e+01,-1.429529786109924316e+00
6.305983543395996094e+00,-4.506211280822753906e+00
7.358288288116455078e+00,-3.215007066726684570e+00
1.234865856170654297e+01,-1.743560552597045898e+00
7.549542903900146484e+00,-1.060883998870849609e+00
1.180476474761962891e+01,-1.334119319915771484e+00
8.298618316650390625e+00,-3.742771387100219727e+00
9.852897644042968750e+00,-5.093720912933349609e+00
6.734504699707031250e+00,-2.805132389068603516e+00
7.850429058074951172e+00,-3.244840621948242188e+00
9.715347290039062500e+00,-2.926035881042480469e+00
8.701221466064453125e+00,-4.101984500885009766e+00
1.043857002258300781e+01,-2.251707315444946289e+00
4.904916286468505859e+00,-2.112341165542602539e+00
1.101736736297607422e+01,-2.031049251556396484e+00
9.866883277893066406e+00,-4.209783077239990234e+00
9.928116798400878906e+00,-4.546425819396972656e+00
6.990226268768310547e+00,-2.477305650711059570e+00
5.761166572570800781e+00,-2.190990686416625977e+00
7.648275375366210938e+00,-1.241948604583740234e+00
7.749651908874511719e+00,-1.100026488304138184e+00
7.589320659637451172e+00,-1.012562632560729980e+00
7.649370193481445312e+00,-1.081282258033752441e+00
4.448617935180664062e+00,-1.897701978683471680e+00
7.826943397521972656e+00,-1.133727192878723145e+00
7.683667659759521484e+00,-1.423044443130493164e+00
8.617238044738769531e+00,-4.043841838836669922e+00
5.071214675903320312e+00,-1.757168054580688477e+00
5.125819206237792969e+00,-1.709486842155456543e+00
5.192669391632080078e+00,-1.684954047203063965e+00
1.219451713562011719e+01,-1.704025149345397949e+00
1.202555465698242188e+01,-1.715607643127441406e+00
5.984022140502929688e+00,-5.233958244323730469e+00
1.008993053436279297e+01,3.042688131332397461e+00
1.090285205841064453e+01,-2.042005062103271484e+00
8.452870368957519531e+00,-2.600359916687011719e+00
9.267774581909179688e+00,-4.619630336761474609e+00
1.180286216735839844e+01,-2.169281959533691406e+00
6.471130371093750000e+00,-4.492707729339599609e+00
1.189111328125000000e+01,-1.654314875602722168e+00
5.189603805541992188e+00,-2.184051752090454102e+00
7.825589179992675781e+00,-9.519754648208618164e-01
4.413522720336914062e+00,-1.505575060844421387e+00
4.277460098266601562e+00,-1.593194961547851562e+00
4.435898303985595703e+00,-1.864109635353088379e+00
4.401630878448486328e+00,-1.700093388557434082e+00
4.451415538787841797e+00,-1.507275581359863281e+00
4.410674571990966797e+00,-1.706268668174743652e+00
4.333115100860595703e+00,-1.675722718238830566e+00
4.366072177886962891e+00,-1.751507878303527832e+00
4.380399227142333984e+00,-1.797813534736633301e+00
4.315793991088867188e+00,-1.805150032043457031e+00
4.793926715850830078e+00,-2.140824079513549805e+00
9.966341972351074219e+00,-4.094133377075195312e+00
1.173834323883056641e+01,-2.107576608657836914e+00
8.634923934936523438e+00,-4.178518772125244141e+00
9.006539344787597656e+00,-4.417767047882080078e+00
9.748085975646972656e+00,-3.003824472427368164e+00
5.882021427154541016e+00,-5.413238048553466797e+00
9.444787025451660156e+00,-4.340183734893798828e+00
6.888719081878662109e+00,-2.862076044082641602e+00
7.651831626892089844e+00,-2.890280008316040039e+00
7.323592662811279297e+00,-1.651772022247314453e+00
